ist observation time,type,ip,host,domain name,sector,target,url
2018-10-01 13:35:59IST,phishing,179.61.232.55,,www.ci-rack.com,,Other,https://www.ci-rack.com/carasuol/ebanking-ch.com/web/-/ubs/log/secure-code49/security/34d8b118f4a82c7d839deedf87b653d1/
2018-10-01 13:35:59IST,phishing,101.201.224.169,,www.toolsalon.com,,Other,http://www.toolsalon.com/js/lib/css
2018-10-01 13:35:59IST,phishing,101.201.224.169,,www.toolsalon.com,,Other,http://www.toolsalon.com/js/lib/css/
2018-10-01 13:35:59IST,phishing,196.41.130.162,,crikster.co.za,,ABSA Bank,http://crikster.co.za/altcustomerCARD/altCustomerB/images/js.php&quot;&gt;&lt;/script&gt;         &lt;script type=&quot;text/javascript&quot;&gt;var siteURL = 'http://crikster.co.za/altcustom
2018-10-01 13:35:59IST,phishing,217.64.195.207,,www.simbakadimja.com,,Other,http://www.simbakadimja.com/lola/
2018-10-01 13:18:29IST,phishing,194.117.236.203,www.motoaventura.ro,,Telecommunications,Swisscom IT Services AG,https://www.motoaventura.ro/wp-includes/widgets/happy.htm
2018-10-01 13:18:29IST,phishing,192.227.134.50,ke-berg.com,,Financial,TD Bank Group,http://ke-berg.com/TD/EasyWebLoginAuthentication.html
2018-10-01 13:18:28IST,phishing,192.227.134.50,ke-berg.com,,Financial,TD Bank Group,http://ke-berg.com/TD/index.html
2018-10-01 13:18:28IST,phishing,173.236.227.213,4-6-3baseball.com,,Email Provider,Webmail Providers,"http://4-6-3baseball.com/cn/8627f5d60c969699ce55ded5cfe38f0d?login=&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw+DQo8c3R5bGU+IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt"
2018-10-01 13:18:28IST,phishing,131.72.236.13,kvme.cl,,Email Provider,Webmail Providers,"http://kvme.cl/invoice/gozypage/chines/9d667ffb87d26e59821d3dfa23e757a5?email=abuse@gmial.com&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw+DQo8c3R5bGU+IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt"
2018-10-01 13:18:28IST,phishing,85.128.223.121,www.maine-coon.net.pl,,Online Services,"ADP, LLC",http://www.maine-coon.net.pl/mine/verification/AAA3M2C0N6M0D774D9ED/access.php
2018-10-01 13:18:28IST,phishing,85.128.223.121,www.maine-coon.net.pl,,Online Services,"ADP, LLC",http://www.maine-coon.net.pl/mine/verification/AAA3M2C0N6M0D774D9ED/index.php?country.x=US-United+States&lang.x=en
2018-10-01 13:18:27IST,phishing,173.212.200.64,radiotropicalwebap.com,,Telecommunications,T-Online,https://radiotropicalwebap.com/idv_cmd/artnr=one.et/en-INs/index.html
2018-10-01 13:18:27IST,phishing,198.187.29.19,www.plu.sh,,Financial,UBS AG,http://www.plu.sh/c3p7g/
2018-10-01 13:18:27IST,phishing,179.61.232.55,www.ci-rack.com,,Financial,UBS AG,http://www.ci-rack.com/carasuol/ebanking-ch.com/web/-/ubs/log/
2018-10-01 13:18:27IST,phishing,103.229.74.247,lestarisilam.id,,Email Provider,Google Inc.,http://lestarisilam.id/fox/ad0be/step2.php
2018-10-01 13:18:27IST,phishing,170.10.163.118,www.intest.com.ve,,Email Provider,Outlook,http://www.intest.com.ve/flexmation_/Share/share/verificationAttempt.php
